                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4086,                 4.0337,                   4.23,                0.00197,                0.37097,                0.00721,                0.00265,                 3.4156,                 4.0487,                 4.1589,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.5436,                 3.8291,                 4.2203,                0.00196,                0.37097,                0.00949,                0.00364,                 3.4144,                 4.0506,                 4.1583,             9.9901e-05,             9.9901e-05,             9.9901e-05
                      3,                 3.2095,                  3.971,                 4.2243,                0.00196,                0.37097,                0.01538,                0.00653,                 3.4093,                 4.0502,                 4.1562,             0.00015968,             0.00015968,             0.00015968
                      4,                 2.9403,                 3.6515,                  4.174,                0.00196,                0.37097,                0.02194,                0.00812,                 3.3989,                 4.0481,                 4.1521,             0.00021935,             0.00021935,             0.00021935
                      5,                 3.3249,                 3.6346,                 4.1454,                0.00197,                0.37097,                0.03204,                0.00951,                 3.3805,                 4.0442,                 4.1444,             0.00027889,             0.00027889,             0.00027889
                      6,                 3.3341,                 3.6429,                 4.1564,                0.00198,                0.37097,                0.06985,                0.02191,                  3.362,                 4.0389,                 4.1365,             0.00033832,             0.00033832,             0.00033832
                      7,                 3.2501,                 3.6843,                 4.0923,                0.00197,                0.37097,                0.05619,                0.02192,                 3.3223,                  4.029,                 4.1187,             0.00039762,             0.00039762,             0.00039762
                      8,                 3.1191,                 3.6628,                 4.0976,                0.00196,                0.37097,                0.11446,                0.04162,                 3.2976,                 4.0212,                 4.1074,             0.00045681,             0.00045681,             0.00045681
                      9,                 3.3353,                 3.7766,                 4.0767,                0.00197,                0.37097,                0.06616,                0.02354,                 3.2359,                 3.9971,                 4.0772,             0.00051588,             0.00051588,             0.00051588
                     10,                 3.3299,                 3.5405,                  4.046,                0.00196,                0.37097,                0.05701,                0.02005,                 3.2068,                 3.9812,                 4.0599,             0.00057483,             0.00057483,             0.00057483
                     11,                  3.328,                 3.7991,                 4.0501,                0.00194,                0.37097,                0.10635,                0.04301,                 3.1404,                 3.9505,                 4.0134,             0.00063366,             0.00063366,             0.00063366
                     12,                 3.0463,                 3.5174,                 4.0115,                0.00194,                0.37097,                0.06966,                0.02341,                  3.122,                 3.9412,                 3.9945,             0.00069238,             0.00069238,             0.00069238
                     13,                 3.2771,                 3.6142,                  3.957,                0.00194,                0.37097,                0.08116,                0.03149,                 3.0346,                 3.9211,                 3.9128,             0.00075097,             0.00075097,             0.00075097
                     14,                 3.1803,                 3.5415,                 3.9469,                0.00194,                0.37097,                0.07935,                0.03187,                 2.9448,                 3.9256,                 3.8241,             0.00080945,             0.00080945,             0.00080945
                     15,                 3.2184,                 3.4781,                 3.9008,                0.00192,                0.37097,                0.08248,                0.03196,                 2.8174,                 3.9663,                 3.6397,              0.0008678,              0.0008678,              0.0008678
                     16,                  3.073,                 3.4918,                 3.8638,                0.00191,                0.37097,                0.09401,                0.03265,                 2.7777,                 4.0439,                 3.5744,             0.00092604,             0.00092604,             0.00092604
                     17,                 3.0048,                 3.4632,                 3.8029,                0.00199,                 0.3871,                  0.079,                0.02276,                 2.7145,                 4.1645,                  3.516,             0.00098416,             0.00098416,             0.00098416
